AUSTRALIA,AU,CXAV,CHIA,S,CHI-X VWAP,,SYDNEY,WWW.CHI-X.COM.AU,SEPTEMBER 2013,ACTIVE,SEPTEMBER 2013,CHI-X VWAP VENUE
AUSTRALIA,AU,CXAW,CHIA,S,CHI-X AUSTRALIA - WARRANTS,CXA,SYDNEY,WWW.CHI-X.COM.AU,NOVEMBER 2015,ACTIVE,NOVEMBER 2015,CHI-X WARRANTS
AUSTRALIA,AU,MACB,MAQX,S,MACQUARIE AUSTRALIA BLOCK CROSSING,,SYDNEY,WWW.MACQUARIE.COM,NOVEMBER 2017,ACTIVE,NOVEMBER 2017,
AUSTRALIA,AU,MAQX,MAQX,O,MACQUARIE INTERNAL MARKETS (AUSTRALIA),,SYDNEY,WWW.MACQUARIE.COM,APRIL 2015,ACTIVE,MARCH 2012,MACQUARIE DARK POOL (AUSTRALIA)
AUSTRALIA,AU,MSAL,MSAL,O,MORGAN STANLEY AUSTRALIA SECURITIES LIMITED,,SYDNEY,WWW.MORGANSTANLEY.COM,JULY 2015,ACTIVE,JULY 2015,
AUSTRALIA,AU,NSXB,NSXB,O,BENDIGO STOCK EXCHANGE LIMITED,BSX,MELBOURNE,WWW.BSX.COM.AU,JUNE 2007,ACTIVE,JUNE 2007,
AUSTRALIA,AU,SIGA,SIGA,O,SIGMA X AUSTRALIA,,SYDNEY,WWW.GSET.GS.COM,FEBRUARY 2012,ACTIVE,FEBRUARY 2012,ALTERNATIVE TRADING SYSTEM (ATS)OPERATED BY GOLDMAN SACHS
AUSTRALIA,AU,SIMV,SIMV,O,SIM VENTURE SECURITIES EXCHANGE,,SYDNEY,WWW.SIMVSE.COM.AU,DECEMBER 2011,ACTIVE,DECEMBER 2011,
AUSTRALIA,AU,XASX,XASX,O,ASX - ALL MARKETS,ASX,SYDNEY,WWW.ASX.COM.AU,JUNE 2012,ACTIVE,MAY 2012,
AUSTRALIA,AU,XFEX,XFEX,O,FINANCIAL AND ENERGY EXCHANGE GROUP,FEX,SYDNEY,WWW.FEX.COM.AU,NOVEMBER 2014,ACTIVE,NOVEMBER 2014,"ELECTRONIC TRADING PLATFORM. REGISTERED MARKET FOR ENERGY, COMMODITY AND ENVIRONMENTAL DERIVATIVES."
AUSTRALIA,AU,XNEC,XNEC,O,NATIONAL STOCK EXCHANGE OF AUSTRALIA LIMITED,NSXA,NEWCASTLE,WWW.NSXA.COM.AU,JUNE 2007,ACTIVE,JUNE 2007,
AUSTRALIA,AU,XSFE,XASX,S,ASX - TRADE24,SFE,SYDNEY,WWW.SFE.COM.AU,MAY 2012,ACTIVE,SEPTEMBER 2010,
AUSTRALIA,AU,XYIE,XYIE,O,YIELDBROKER PTY LTD,,SYDNEY,WWW.YIELDBROKER.COM,JUNE 2005,ACTIVE,JUNE 2005,
AUSTRIA,AT,APAW,APAW,O,WIENER BOERSE AG - APA,,VIENNA,WWW.WIENERBOERSE.AT,JULY 2017,ACTIVE,JUNE 2018,APPROVED PUBLICATION ARRANGEMENT.
AUSTRIA,AT,BKSK,BKSK,O,BKS BANK AG - SYSTEMATIC INTERNALISER,,KLAGENFURT AM WOERTHERSEE,WWW.BKS.AT,AUGUST 2018,ACTIVE,AUGUST 2018,SYSTEMATIC INTERNALISER.
AUSTRIA,AT,EGSI,EGSI,O,ERSTE GROUP BANK AG,,VIENNA,WWW.ERSTEGROUP.COM,JANUARY 2017,ACTIVE,JANUARY 2017,SYSTEMATIC INTERNALISER.
AUSTRIA,AT,EXAA,XWBO,S,"WIENER BOERSE AG, AUSTRIAN ENERGY EXCHANGE",EXAA,VIENNA,WWW.EXAA.AT,MAY 2016,ACTIVE,MAY 2007,
AUSTRIA,AT,OBKL,OBKL,O,OBERBANK AG - SYSTEMATIC INTERNALISER,,LINZ,WWW.OBERBANK.AT,AUGUST 2018,ACTIVE,AUGUST 2018,SYSTEMATIC INTERNALISER.
AUSTRIA,AT,RBIV,RBIV,O,RAIFFEISEN BANK INTERNATIONAL AG - SYSTEMATIC INTERNALISER,,VIENNA,WWW.RBINTERNATIONAL.COM,JULY 2018,ACTIVE,JULY 2018,SYSTEMATIC INTERNALISER.
AUSTRIA,AT,RLBO,RLBO,O,RAIFFEISENLANDESBANK OBERÖSTERREICH - SYSTEMATIC INTERNALISER,,LINZ,WWW.RLBOOE.AT,APRIL 2018,ACTIVE,APRIL 2018,SYSTEMATIC INTERNALISER.
